iter	Passed	Remaining
0	0	91
1	1	85
2	2	81
3	3	77
4	4	76
5	4	75
6	5	74
7	6	73
8	7	72
9	8	72
10	8	72
11	9	72
12	10	72
13	11	71
14	12	71
15	13	70
16	14	69
17	15	69
18	16	68
19	16	67
20	17	67
21	18	65
22	19	65
23	20	63
24	20	62
25	21	62
26	22	61
27	23	60
28	24	59
29	25	58
30	25	57
31	27	57
32	28	57
33	28	56
34	29	55
35	30	54
36	31	53
37	32	53
38	33	52
39	34	51
40	34	50
41	35	48
42	36	47
43	36	46
44	37	46
45	38	45
46	39	44
47	40	43
48	41	43
49	42	42
50	42	41
51	43	40
52	44	39
53	45	38
54	45	37
55	46	36
56	47	35
57	48	34
58	48	34
59	49	33
60	50	32
61	51	31
62	52	30
63	52	29
64	53	28
65	54	28
66	55	27
67	56	26
68	56	25
69	57	24
70	58	23
71	59	22
72	59	22
73	60	21
74	61	20
75	62	19
76	63	18
77	63	18
78	64	17
79	65	16
80	66	15
81	66	14
82	67	13
83	68	13
84	69	12
85	70	11
86	71	10
87	71	9
88	72	8
89	73	8
90	74	7
91	75	6
92	75	5
93	76	4
94	77	4
95	78	3
96	79	2
97	79	1
98	80	0
99	81	0
